tick,utilization,queue_depth,borrowed_gpu
0,0.0,0,0.0
1,0.0,0,0.0
2,0.0,0,0.0
3,0.0,0,0.0
4,0.0,0,0.0
5,0.0,0,0.0
6,0.0,0,0.0
7,0.0,0,0.0
8,0.0,0,0.0
9,0.0,0,0.0
10,0.0,0,0.0
11,0.0,0,0.0
12,0.0,2,0.0
13,0.075,2,0.0
14,0.075,2,0.0
15,0.075,2,0.0
16,0.075,0,0.0
17,0.1,0,0.0
18,0.1,0,0.0
19,0.1,0,0.0
20,0.1,0,0.0
21,0.15,0,0.0
22,0.15,0,0.0
23,0.15,0,0.0
24,0.175,0,0.0
25,0.175,0,0.0
26,0.175,0,0.0
27,0.275,0,0.0
28,0.275,0,0.0
29,0.275,0,0.0
30,0.275,0,0.0
31,0.275,0,0.0
32,0.275,0,1.0
33,0.275,0,1.0
34,0.325,0,1.0
35,0.325,0,1.0
36,0.325,1,3.0
37,0.3,1,3.0
38,0.3,1,3.0
39,0.35,1,3.0
40,0.35,1,3.0
41,0.35,1,3.0
42,0.35,1,3.0
43,0.325,1,3.0
44,0.4,1,3.0
45,0.4,1,3.0
46,0.375,1,3.0
47,0.375,1,3.0
48,0.35,2,4.0
49,0.4,2,4.0
50,0.4,2,4.0
51,0.4,2,4.0
52,0.35,1,4.0
53,0.45,1,4.0
54,0.45,1,4.0
55,0.425,1,4.0
56,0.4,1,4.0
57,0.4,1,4.0
58,0.4,1,4.0
59,0.4,1,4.0
60,0.4,1,5.0
61,0.375,1,5.0
62,0.375,1,5.0
63,0.425,1,5.0
64,0.425,1,4.0
65,0.375,1,4.0
66,0.375,1,4.0
67,0.425,1,4.0
68,0.4,3,6.0
69,0.425,3,6.0
70,0.425,3,6.0
71,0.4,3,6.0
72,0.45,3,5.0
73,0.45,3,5.0
74,0.425,3,5.0
75,0.425,3,5.0
76,0.4,3,6.0
77,0.375,3,6.0
78,0.4,3,6.0
79,0.4,3,6.0
80,0.4,5,6.0
81,0.4,5,6.0
82,0.425,5,6.0
83,0.4,6,6.0
84,0.4,5,4.0
85,0.4,5,4.0
86,0.425,6,4.0
87,0.45,5,4.0
88,0.45,6,8.0
89,0.5,6,8.0
90,0.525,5,8.0
91,0.5,5,8.0
92,0.5,5,8.0
93,0.5,5,8.0
94,0.6,5,8.0
95,0.625,5,8.0
96,0.6,4,7.0
97,0.6,4,7.0
98,0.6,4,7.0
99,0.65,4,7.0
100,0.65,4,6.0
101,0.65,4,6.0
102,0.675,4,6.0
103,0.675,4,6.0
104,0.625,4,7.0
105,0.625,4,7.0
106,0.625,4,7.0
107,0.6,4,7.0
108,0.6,5,7.0
109,0.575,5,7.0
110,0.575,5,7.0
111,0.575,5,7.0
112,0.575,7,7.0
113,0.575,7,7.0
114,0.575,7,7.0
115,0.575,7,7.0
116,0.575,6,5.0
117,0.575,6,5.0
118,0.575,6,5.0
119,0.575,6,5.0
120,0.525,6,5.0
121,0.575,6,5.0
122,0.575,6,5.0
123,0.525,6,5.0
124,0.55,6,5.0
125,0.55,6,5.0
126,0.55,6,5.0
127,0.55,6,5.0
128,0.575,5,5.0
129,0.625,5,5.0
130,0.625,5,5.0
131,0.625,5,5.0
132,0.625,6,6.0
133,0.675,6,6.0
134,0.675,6,6.0
135,0.675,6,6.0
136,0.675,6,6.0
137,0.675,7,6.0
138,0.7,6,6.0
139,0.7,6,6.0
140,0.7,8,7.0
141,0.675,8,7.0
142,0.675,8,7.0
143,0.675,8,7.0
144,0.675,10,7.0
145,0.7,10,7.0
146,0.65,10,7.0
147,0.65,10,7.0
148,0.65,9,7.0
149,0.65,9,7.0
150,0.7,9,7.0
151,0.7,9,7.0
152,0.7,8,8.0
153,0.7,8,8.0
154,0.75,8,8.0
155,0.75,8,8.0
156,0.725,7,9.0
157,0.65,7,9.0
158,0.65,7,9.0
159,0.7,7,9.0
160,0.7,8,11.0
161,0.7,8,11.0
162,0.675,8,11.0
163,0.7,8,11.0
164,0.75,6,10.0
165,0.725,6,10.0
166,0.775,6,10.0
167,0.775,6,10.0
168,0.75,6,10.0
169,0.75,6,10.0
170,0.75,6,10.0
171,0.775,6,10.0
172,0.775,5,10.0
173,0.75,5,10.0
174,0.725,5,10.0
175,0.725,5,10.0
176,0.725,5,10.0
177,0.725,5,10.0
178,0.725,5,10.0
179,0.725,5,10.0
180,0.725,5,9.0
181,0.725,5,9.0
182,0.725,5,9.0
183,0.725,5,9.0
184,0.725,8,9.0
185,0.725,8,9.0
186,0.725,8,9.0
187,0.725,8,9.0
188,0.725,8,9.0
189,0.725,8,9.0
190,0.775,8,9.0
191,0.775,8,9.0
192,0.775,9,10.0
193,0.775,9,10.0
194,0.725,9,10.0
195,0.7,9,10.0
196,0.7,10,10.0
197,0.7,10,10.0
198,0.7,10,10.0
199,0.7,10,10.0
200,0.675,14,9.0
201,0.75,14,9.0
202,0.75,14,9.0
203,0.7,14,9.0
204,0.725,18,8.0
205,0.775,18,8.0
206,0.875,18,8.0
207,0.875,18,8.0
208,0.875,16,9.0
209,0.9,15,9.0
210,0.85,15,9.0
211,0.85,15,9.0
212,0.85,15,9.0
213,0.825,15,9.0
214,0.825,15,9.0
215,0.85,15,9.0
216,0.85,16,9.0
217,0.85,16,9.0
218,0.85,16,9.0
219,0.8,16,9.0
220,0.775,19,8.0
221,0.775,19,8.0
222,0.775,19,8.0
223,0.8,19,8.0
224,0.775,18,8.0
225,0.775,18,8.0
226,0.775,19,8.0
227,0.8,18,8.0
228,0.825,16,8.0
229,0.875,16,8.0
230,0.875,16,8.0
231,0.925,16,8.0
232,0.9,16,12.0
233,0.825,16,12.0
234,0.825,16,12.0
235,0.825,16,12.0
236,0.825,16,12.0
237,0.825,16,12.0
238,0.875,16,12.0
239,0.775,16,12.0
240,0.75,13,13.0
241,0.8,13,13.0
242,0.75,13,13.0
243,0.75,13,13.0
244,0.75,13,13.0
245,0.75,13,13.0
246,0.725,13,13.0
247,0.825,13,13.0
248,0.8,9,11.0
249,0.825,9,11.0
250,0.825,9,11.0
251,0.825,9,11.0
252,0.825,10,10.0
253,0.825,10,10.0
254,0.85,10,10.0
255,0.85,10,10.0
256,0.85,11,10.0
257,0.825,11,10.0
258,0.825,11,10.0
259,0.825,11,10.0
260,0.825,11,10.0
261,0.825,11,10.0
262,0.775,11,10.0
263,0.75,11,10.0
264,0.75,12,9.0
265,0.725,12,9.0
266,0.75,12,9.0
267,0.75,12,9.0
268,0.75,11,9.0
269,0.75,11,9.0
270,0.775,11,9.0
271,0.775,11,9.0
272,0.775,11,9.0
273,0.75,11,9.0
274,0.75,11,9.0
275,0.7,12,9.0
276,0.7,11,9.0
277,0.7,10,9.0
278,0.7,10,9.0
279,0.675,10,9.0
280,0.675,10,10.0
281,0.675,10,10.0
282,0.675,10,10.0
283,0.675,10,10.0
284,0.775,7,8.0
285,0.775,7,8.0
286,0.725,7,8.0
287,0.725,7,8.0
288,0.725,7,12.0
289,0.725,7,12.0
290,0.725,7,12.0
291,0.725,7,12.0
292,0.725,7,11.0
293,0.725,7,11.0
294,0.75,7,11.0
295,0.75,7,11.0
296,0.7,6,11.0
297,0.7,6,11.0
298,0.7,6,11.0
299,0.7,6,11.0
300,0.65,6,11.0
301,0.625,6,11.0
302,0.625,6,11.0
303,0.625,6,11.0
304,0.625,6,8.0
305,0.675,6,8.0
306,0.675,6,8.0
307,0.675,6,8.0
308,0.675,4,10.0
309,0.65,5,10.0
310,0.65,5,10.0
311,0.675,5,10.0
312,0.675,4,10.0
313,0.7,3,10.0
314,0.7,3,10.0
315,0.675,3,10.0
316,0.675,3,12.0
317,0.675,3,12.0
318,0.675,3,12.0
319,0.6,3,12.0
320,0.55,7,11.0
321,0.55,7,11.0
322,0.55,7,11.0
323,0.6,7,11.0
324,0.575,7,11.0
325,0.55,7,11.0
326,0.55,7,11.0
327,0.55,7,11.0
328,0.55,6,11.0
329,0.475,6,11.0
330,0.475,6,11.0
331,0.475,6,11.0
332,0.575,7,8.0
333,0.575,7,8.0
334,0.625,7,8.0
335,0.575,7,8.0
336,0.575,6,9.0
337,0.575,6,9.0
338,0.625,6,9.0
339,0.625,6,9.0
340,0.65,4,9.0
341,0.675,4,9.0
342,0.65,4,9.0
343,0.575,4,9.0
344,0.525,6,10.0
345,0.55,6,10.0
346,0.55,6,10.0
347,0.55,6,10.0
348,0.55,6,10.0
349,0.525,6,10.0
350,0.625,6,10.0
351,0.6,6,10.0
352,0.575,2,9.0
353,0.575,2,9.0
354,0.575,2,9.0
355,0.575,2,9.0
356,0.575,3,9.0
357,0.525,3,9.0
358,0.55,3,9.0
359,0.55,3,9.0
360,0.55,3,7.0
361,0.575,3,7.0
362,0.575,3,7.0
363,0.575,3,7.0
364,0.625,2,7.0
365,0.6,2,7.0
366,0.575,2,7.0
367,0.575,2,7.0
368,0.575,2,7.0
369,0.575,2,7.0
370,0.575,2,7.0
371,0.575,3,7.0
372,0.5,5,6.0
373,0.475,5,6.0
374,0.475,5,6.0
375,0.475,5,6.0
376,0.5,5,6.0
377,0.5,4,6.0
378,0.525,4,6.0
379,0.525,4,6.0
